Sequential Scan - Query 50: id=47875, x=47.79, y=140.26
Best First - Query 50: id=47875, x=47.79, y=140.26
Divide and Conquer - Query 50: id=47875, x=47.79, y=140.26
Sequential Scan - Query 51: id=115148, x=54.52, y=87.87
Best First - Query 51: id=115148, x=54.52, y=87.87
Divide and Conquer - Query 51: id=115148, x=54.52, y=87.87
Sequential Scan - Query 52: id=9289, x=86.78, y=88.36
Best First - Query 52: id=9289, x=86.78, y=88.36
Divide and Conquer - Query 52: id=9289, x=86.78, y=88.36
Sequential Scan - Query 53: id=9091, x=41.67, y=146.20
Best First - Query 53: id=9091, x=41.67, y=146.20
Divide and Conquer - Query 53: id=9091, x=41.67, y=146.20
Sequential Scan - Query 54: id=78764, x=79.69, y=139.01
Best First - Query 54: id=78764, x=79.69, y=139.01
Divide and Conquer - Query 54: id=78764, x=79.69, y=139.01
Sequential Scan - Query 55: id=57848, x=81.93, y=156.54
Best First - Query 55: id=57848, x=81.93, y=156.54
Divide and Conquer - Query 55: id=57848, x=81.93, y=156.54
Sequential Scan - Query 56: id=139247, x=56.32, y=127.58
Best First - Query 56: id=139247, x=56.32, y=127.58
Divide and Conquer - Query 56: id=139247, x=56.32, y=127.58
Sequential Scan - Query 57: id=106645, x=6.53, y=142.49
Best First - Query 57: id=106645, x=6.53, y=142.49
Divide and Conquer - Query 57: id=106645, x=6.53, y=142.49
Sequential Scan - Query 58: id=121417, x=5.79, y=144.78
Best First - Query 58: id=121417, x=5.79, y=144.78
Divide and Conquer - Query 58: id=121417, x=5.79, y=144.78
Sequential Scan - Query 59: id=141910, x=20.80, y=146.75
Best First - Query 59: id=141910, x=20.80, y=146.75
Divide and Conquer - Query 59: id=141910, x=20.80, y=146.75
Sequential Scan - Query 60: id=50324, x=4.95, y=91.31
Best First - Query 60: id=50324, x=4.95, y=91.31
Divide and Conquer - Query 60: id=50324, x=4.95, y=91.31
Sequential Scan - Query 61: id=124665, x=3.37, y=111.26
Best First - Query 61: id=124665, x=3.37, y=111.26
Divide and Conquer - Query 61: id=124665, x=3.37, y=111.26
Sequential Scan - Query 62: id=55883, x=81.45, y=87.68
Best First - Query 62: id=55883, x=81.45, y=87.68
Divide and Conquer - Query 62: id=55883, x=81.45, y=87.68
Sequential Scan - Query 63: id=91617, x=73.09, y=142.88
Best First - Query 63: id=91617, x=73.09, y=142.88
Divide and Conquer - Query 63: id=91617, x=73.09, y=142.88
Sequential Scan - Query 64: id=109261, x=72.43, y=153.15
Best First - Query 64: id=109261, x=72.43, y=153.15
Divide and Conquer - Query 64: id=109261, x=72.43, y=153.15
Sequential Scan - Query 65: id=3048, x=2.73, y=148.10
Best First - Query 65: id=3048, x=2.73, y=148.10
Divide and Conquer - Query 65: id=3048, x=2.73, y=148.10
Sequential Scan - Query 66: id=89611, x=56.15, y=135.83
Best First - Query 66: id=89611, x=56.15, y=135.83
Divide and Conquer - Query 66: id=89611, x=56.15, y=135.83
Sequential Scan - Query 67: id=411, x=16.15, y=125.20
Best First - Query 67: id=411, x=16.15, y=125.20
Divide and Conquer - Query 67: id=411, x=16.15, y=125.20
Sequential Scan - Query 68: id=778, x=26.44, y=99.07
Best First - Query 68: id=778, x=26.44, y=99.07
Divide and Conquer - Query 68: id=778, x=26.44, y=99.07
Sequential Scan - Query 69: id=140487, x=20.64, y=125.00
Best First - Query 69: id=140487, x=20.64, y=125.00
Divide and Conquer - Query 69: id=140487, x=20.64, y=125.00
Sequential Scan - Query 70: id=149817, x=16.03, y=148.38
Best First - Query 70: id=149817, x=16.03, y=148.38
Divide and Conquer - Query 70: id=149817, x=16.03, y=148.38
Sequential Scan - Query 71: id=109260, x=84.58, y=89.74
Best First - Query 71: id=109260, x=84.58, y=89.74
Divide and Conquer - Query 71: id=109260, x=84.58, y=89.74
Sequential Scan - Query 72: id=114778, x=44.76, y=126.64
Best First - Query 72: id=114778, x=44.76, y=126.64
Divide and Conquer - Query 72: id=114778, x=44.76, y=126.64
Sequential Scan - Query 73: id=33120, x=27.36, y=135.28
Best First - Query 73: id=33120, x=27.36, y=135.28
Divide and Conquer - Query 73: id=33120, x=27.36, y=135.28
Sequential Scan - Query 74: id=142340, x=53.07, y=135.65
Best First - Query 74: id=142340, x=53.07, y=135.65
Divide and Conquer - Query 74: id=142340, x=53.07, y=135.65
Sequential Scan - Query 75: id=66753, x=87.22, y=157.14
Best First - Query 75: id=66753, x=87.22, y=157.14
Divide and Conquer - Query 75: id=66753, x=87.22, y=157.14
